Link,Country,Coordinates
https://www.cnn.com/style/article/ai-architecture-manas-bhatia,USA,"38.89511, -77.03637"
https://www.pbs.org/video/tomorrows-e58248/,USA,"38.89511, -77.03637"
https://clip.cafe/a-brief-history-of-the-future-2024/im-here-spend-time-with-a-local-architect/,USA,"38.89511, -77.03637"
"https://amazingarchitecture.com/futuristic/ai-generated-future-cities-by-manas-bhatia#:~:text=For%20the%20green%20cities%20they,modern%20structures%20and%20no%20pollution.",UAE,"25.2048, 55.2708"
https://www.designboom.com/architecture/ai-futuristic-sustainable-city-air-purifying-biophilic-skyscrapers-manas-bhatia-08-22-2022/,Italy,"45.4642, 9.19"
https://www.amazingarchitecture.com/futuristic/ai-generated-future-cities-by-manas-bhatia,UAE,"25.2048, 55.2708"
https://uni.xyz/journal/revolutionizing-urban-living-the-impact-,India,"28.6139, 77.2090"
https://themindcircle.com/future-cities/,USA,"38.89511, -77.03637"
https://thursd.com/articles/using-ai-in-manas-bhatia-biophilic-architectural-designs,Netherlands,"52.3676, 4.9041"
https://www.archilovers.com/stories/30302/how-artificial-intelligence-will-shape-the-future-smart-cities.html,Italy,"44.4949, 11.3426"
https://www.techtimes.com/articles/280158/20220906/architect-uses-ai-design-future-cities-results-otherworldly.htm,USA,"38.89511, -77.03637"
https://app.newsomatic.net/2022/11/17/future-cities-made-by-bot/?t=e5203c7e-0481-4a64-9b40-8a991c297fab&reading_level=E3,Unknown,NA
https://christiankromme.com/radical-visions-of-future-cities/,Netherlands,"52.3676, 4.9041"
https://thearchitectsdiary.com/the-confluence-of-ai-and-architecture-manas-bhatia-tadpod/,India,"28.6139, 77.2090"
https://m2now.com/a-city-created-by-keywords/,New Zealand,"-36.8485, 174.7633"
https://www.itsliquid.com/interview-manas-bhatia.html,Italy,"45.4642, 9.19"
https://www.novatr.com/blog/futuristic-architecture-designs,India,"28.6139, 77.2090"
https://www.researchgate.net/figure/Manas-Bhatia-image-of-the-AI-x-Future-Cities-project-reprocessing-performed-in-AI_fig11_384182945,Germany,"52.52, 13.4050"
https://www.archi-tector.com/trend/so-artificial-intelligence-could-change-the-future-of-architecture/,Russia,"55.7558, 37.6173"
https://www.youtube.com/watch?v=9BpxfVdUZbA&ab_channel=ELEV8,USA,"38.89511, -77.03637"
https://westontitle.com/2022/09/ai-architecture-futuristic-cities/,USA,"25.7617, -80.1918"
https://cor3design.com/artificial-intelligence-2/,USA,"34.0007, -81.0348"
https://blog.beopenfuture.com/2022/08/31/ai-generated-architecture/,Unknown,NA
https://www.researchgate.net/publication/383444477_The_Integration_of_Artificial_Intelligence_in_Architectural_Visualization_Enhances_Augmented_Realism_and_Interactivity/fulltext/66cddee5fa5e11512c3ac483/The-Integration-of-Artificial-Intelligence-in-Architectural-Visualization-Enhances-Augmented-Realism-and-Interactivity.pdf,Germany,"52.52, 13.4050"
https://www.re-thinkingthefuture.com/narratives/a11531-shaping-tomorrow-unveiling-the-future-of-architecture/,India,"28.6139, 77.2090"
https://www.cnn.com/videos/tv/2022/12/08/manas-bhatia-ai-nature-designs-tnf-spc-intl.cnn,USA,"38.89511, -77.03637"
https://good.rp3agency.com/manas-bhatia-interview,Unknown,NA
https://amazingarchitecture.com/futuristic/symbiotic-architecture-by-manas-bhatia,UAE,"25.2048, 55.2708"
https://www.designboom.com/architecture/manas-bhatia-ai-generated-surreal-symbiotic-architecture-08-22-2022/,Italy,"45.4642, 9.19"
https://parametric-architecture.com/ai-x-symbiotic-architecture-a-residential-self-growing-tower-conceptual-design-by-manas-bhatia/?srsltid=AfmBOopS6r_nAFfLlTOW70JNVIqFMFDTD9yrUm6Trjt2GCqZZdCQ_9Jl,Unknown,NA
https://mymodernmet.com/manas-bhatia-ai-concept-architecture/,Unknown,NA
https://thursd.com/articles/mania-bhatia-imagines-a-surreal-architectural-future-in-his-newest-project,Netherlands,"52.3676, 4.9041"
https://www.arch2o.com/surreal-symbiotic-architecture-created-by-artificial-intelligence-in-manas-bhatia/,Unknown,NA
https://www.re-thinkingthefuture.com/residential/7561-ai-x-symbiotic-architecture-by-manas-bhatia/,India,"28.6139, 77.2090"
https://archello.com/project/ai-generated-symbiotic-architecture,Unknown,NA
https://coolhunting.com/tech/computation-designer-manas-bhatias-ai-generated-living-architecture/,Unknown,NA
https://www.wallprotex.com/architecture-newsletter/manas-bhatia-s-ai-generated-surreal-symbiotic-architecture-breathes,Unknown,NA
https://ottmarliebert.com/2022/09/05/symbiotic-architecture/,Unknown,NA
https://mossandfog.com/manas-bhatias-symbiotic-architecture/,Unknown,NA
https://www.demilked.com/ai-images-symbiotic-structures-manas-bhatia/,Unknown,NA
https://www.yahoo.com/news/symbiotic-architecture-artificial-intelligence-envisions-225808659.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAFHCMjQM89aeYCgJZ4osmkSlrQAUCUEI-PmaULv3Kgfju9NnlnQawqlOH-E1Ff34MDXO8iJR-jKNbYn_H_3JXrLy6JbhQcggfog-3YDIdiF1oh9OsToD7EKb1njnjsRad_aCLoxYgSO4-7fHc5n4Ok5VSXXeL6Vfd9Z9UL2tiRIb,Unknown,NA
https://themindcircle.com/symbiotic-architecture/,USA,"38.89511, -77.03637"
https://www.designindaba.com/articles/creative-work/living-space,Unknown,NA
https://architectureurbanism.com/Projects/view_project/R1FHblJtRHMzVGc3d3ZtRVlJdEsrdz09,Unknown,NA
